company,domain,category,contact_name,role,priority,status,linkedin_search
Hey Savi,heysavi.com,consumer-shopping,"Sarah Daniel","Co-Founder & Co-CEO",2,"","Sarah Daniel Hey Savi"
Hey Savi,heysavi.com,consumer-shopping,"Angela Vinci","Co-Founder & CPTO",3,"","Angela Vinci Hey Savi"
Shoppin,shoppin.app,consumer-shopping,"Shlok Bhartiya","Founder & CEO",1,"SENT_P1","Shlok Bhartiya Shoppin"
Shoppin,shoppin.app,consumer-shopping,"Utsav Soi","Co-Founder & CTO",2,"","Utsav Soi Shoppin"
Shoppin,shoppin.app,consumer-shopping,"Nishant Agrawal","Senior AI/ML Engineer",3,"","Nishant Agrawal Shoppin"
Shoppin,shoppin.app,consumer-shopping,"Rishi Sharma","Founding Product Designer",4,"","Rishi Sharma Shoppin"
Karma,karmanow.com,consumer-shopping,"Tamar Shachar","VP of Products",1,"SENT_P1","Tamar Shachar Karma"
Karma,karmanow.com,consumer-shopping,"Jonathan Friedman","Co-Founder & CEO",2,"","Jonathan Friedman Karma"
Karma,karmanow.com,consumer-shopping,"Omer Gazit","CTO",3,"","Omer Gazit Karma"
Karma,karmanow.com,consumer-shopping,"Joshua Pinchasi","Head of Sales & Partnerships",4,"","Joshua Pinchasi Karma"
Glance,glance.com,consumer-shopping,"Naveen Ramasamy","VP of Product Management",1,"SENT_P1","Naveen Ramasamy Glance"
Glance,glance.com,consumer-shopping,"Piyush Shah","Co-Founder & COO",2,"","Piyush Shah Glance"
Glance,glance.com,consumer-shopping,"Mohit Kumar","Co-Founder & CTO",3,"","Mohit Kumar Glance"
Glance,glance.com,consumer-shopping,"Naveen Tewari","Founder & CEO",4,"","Naveen Tewari Glance"
Lily AI,lily.ai,consumer-shopping,"Purva Gupta","Co-Founder & CEO",1,"","Purva Gupta Lily AI"
Lily AI,lily.ai,consumer-shopping,"Sowmiya Chocka Narayanan","Co-Founder & CTO",2,"","Sowmiya Chocka Narayanan Lily AI"
Lily AI,lily.ai,consumer-shopping,"Prashanth C","Head of Engineering — AI/ML",3,"","Prashanth C Lily AI"
Lily AI,lily.ai,consumer-shopping,"Vimal Kohli","Chief Analytics Officer",4,"","Vimal Kohli Lily AI"
Lily AI,lily.ai,consumer-shopping,"Rick Kjellberg","CFO",5,"","Rick Kjellberg Lily AI"
Raspberry AI,raspberry.ai,consumer-shopping,"Cheryl Liu","Founder & CEO",1,"SENT_P1","Cheryl Liu Raspberry AI"
Raspberry AI,raspberry.ai,consumer-shopping,"Fan Yang","Chief Technology Officer",2,"","Fan Yang Raspberry AI"
New Generation,new-gen.ai,consumer-shopping,"Jonathan Arena","Co-Founder",1,"SENT_P1","Jonathan Arena New Generation"
New Generation,new-gen.ai,consumer-shopping,"Adam Behrens","Co-Founder",2,"","Adam Behrens New Generation"
New Generation,new-gen.ai,consumer-shopping,"Jaden Levitt","Team",3,"","Jaden Levitt New Generation"
New Generation,new-gen.ai,consumer-shopping,"Marcus Brown","Team",4,"","Marcus Brown New Generation"
New Generation,new-gen.ai,consumer-shopping,"Lisa Wong","Team",5,"","Lisa Wong New Generation"
Enhans,enhans.ai,consumer-shopping,"Seunghyun Lee","CEO",1,"","Seunghyun Lee Enhans"
Enhans,enhans.ai,consumer-shopping,"Young Chung","Team",2,"","Young Chung Enhans"
Enhans,enhans.ai,consumer-shopping,"Sukyeon Jung","Team",3,"","Sukyeon Jung Enhans"
Enhans,enhans.ai,consumer-shopping,"JongWhi Kim","Team",4,"","JongWhi Kim Enhans"
Enhans,enhans.ai,consumer-shopping,"Jaewoong Lee","Team",5,"","Jaewoong Lee Enhans"
Wishlink,wishlink.com,consumer-shopping,"Shaurya Gupta","Co-Founder & CEO",1,"SENT_P1","Shaurya Gupta Wishlink"
Wishlink,wishlink.com,consumer-shopping,"Chandan Yadav","Team",2,"","Chandan Yadav Wishlink"
Wishlink,wishlink.com,consumer-shopping,"Divyansh Ameta","Team",3,"","Divyansh Ameta Wishlink"
Wishlink,wishlink.com,consumer-shopping,"Utkarsh Srivastava","Team",4,"","Utkarsh Srivastava Wishlink"
Agentio,agentio.com,consumer-shopping,"Arthur Leopold","CEO & Co-Founder",1,"SENT_P1","Arthur Leopold Agentio"
Agentio,agentio.com,consumer-shopping,"Jonathan Meyers","Team",2,"","Jonathan Meyers Agentio"
Agentio,agentio.com,consumer-shopping,"Abbie Sheppard","VP Creator Strategy",3,"","Abbie Sheppard Agentio"
Agentio,agentio.com,consumer-shopping,"Hilary Anne Hyman","Head of Sales",4,"","Hilary Anne Hyman Agentio"
LTK,shopltk.com,consumer-shopping,"Kristi O'Brien","GM Brand Platform / Head of Partnerships",1,"SENT_P1","Kristi O'Brien LTK"
LTK,shopltk.com,consumer-shopping,"Baxter Box","Co-Founder & CEO",2,"","Baxter Box LTK"
LTK,shopltk.com,consumer-shopping,"Ty Amell","Chief Technology Officer",3,"","Ty Amell LTK"
LTK,shopltk.com,consumer-shopping,"Stephanie Sandbo","Chief Revenue Officer",4,"","Stephanie Sandbo LTK"
LTK,shopltk.com,consumer-shopping,"Gary Kanazawa","VP Product, Ad Platform",5,"","Gary Kanazawa LTK"
Pietra,pietrastudio.com,consumer-shopping,"Ronak Trivedi","Co-Founder & CEO",1,"SENT_P1","Ronak Trivedi Pietra"
Pietra,pietrastudio.com,consumer-shopping,"Pan Pandas","Team",2,"","Pan Pandas Pietra"
Pietra,pietrastudio.com,consumer-shopping,"Tala Akhavan","Team",3,"","Tala Akhavan Pietra"
Qeen.ai,qeen.ai,consumer-shopping,"Morteza Ibrahimi","Co-Founder & CEO",1,"SENT_P1","Morteza Ibrahimi Qeen.ai"
Qeen.ai,qeen.ai,consumer-shopping,"Ahmad Khwileh","Team",2,"","Ahmad Khwileh Qeen.ai"
Qeen.ai,qeen.ai,consumer-shopping,"Dina Alsamhan","Team",3,"","Dina Alsamhan Qeen.ai"
Peec AI,peec.ai,consumer-shopping,"Marius Meiners","Co-Founder & CEO",1,"SENT_P1","Marius Meiners Peec AI"
Peec AI,peec.ai,consumer-shopping,"Tobias Siwonia","Co-Founder",2,"","Tobias Siwonia Peec AI"
Peec AI,peec.ai,consumer-shopping,"Daniel Drabo","Co-Founder",3,"","Daniel Drabo Peec AI"
Wildcard,wild-card.ai,consumer-shopping,"Kaushik Mahorker","Founder & CEO",1,"SENT_P1","Kaushik Mahorker Wildcard"
Wildcard,wild-card.ai,consumer-shopping,"Yagnya Patel","Co-Founder & CTO",2,"","Yagnya Patel Wildcard"
Omakase.ai,omakase.ai,consumer-shopping,"Masa Shimizu","Founder & CEO",1,"","Masa Shimizu Omakase.ai"
Omakase.ai,omakase.ai,consumer-shopping,"Or Perlman","Chief Technology Officer",2,"","Or Perlman Omakase.ai"
The Prompting Company,promptingcompany.com,consumer-shopping,"Kevin Chandra","Co-Founder & CEO",1,"SENT_P1","Kevin Chandra The Prompting Company"
The Prompting Company,promptingcompany.com,consumer-shopping,"Albert Putra Purnama","Co-Founder & CTO",2,"","Albert Putra Purnama The Prompting Company"
The Prompting Company,promptingcompany.com,consumer-shopping,"Michelle Marcelline","Co-Founder",3,"","Michelle Marcelline The Prompting Company"
Vambe,vambe.ai,consumer-shopping,"Nicolás Camhi","Co-Founder & CEO",1,"","Nicolás Camhi Vambe"
Vambe,vambe.ai,consumer-shopping,"Matias Perez Pefaur","Co-Founder & Chief AI Officer",2,"","Matias Perez Pefaur Vambe"
Vambe,vambe.ai,consumer-shopping,"Diego Chahuan","Co-Founder & CTO",3,"","Diego Chahuan Vambe"
Kite,gokite.ai,consumer-shopping,"Chi Zhang","CEO & Co-Founder",1,"SENT_P1","Chi Zhang Kite"
Kite,gokite.ai,consumer-shopping,"Scott Shi","Co-Founder & CTO",2,"","Scott Shi Kite"
Kite,gokite.ai,consumer-shopping,"Yusuke Muraoka","Head of Product",3,"","Yusuke Muraoka Kite"
Albatross AI,usealbatross.ai,consumer-shopping,"Kevin Kahn","Co-Founder & CEO",1,"SENT_P1","Kevin Kahn Albatross AI"
Albatross AI,usealbatross.ai,consumer-shopping,"Matteo Ruffini","Co-Founder & Chief Strategy Officer",2,"","Matteo Ruffini Albatross AI"
Albatross AI,usealbatross.ai,consumer-shopping,"Johan Boissard","Co-Founder & CTO",3,"","Johan Boissard Albatross AI"
Haut.AI,haut.ai,consumer-shopping,"Anastasia Georgievskaya","Co-Founder & CEO",1,"SENT_P1","Anastasia Georgievskaya Haut.AI"
Haut.AI,haut.ai,consumer-shopping,"Konstantin Kiselev","Co-Founder & CTO",2,"","Konstantin Kiselev Haut.AI"
Haut.AI,haut.ai,consumer-shopping,"Dinar Sharafutdinov","Deep Learning Engineer",3,"","Dinar Sharafutdinov Haut.AI"
Constructor,constructor.io,brand-side,"Valeriya Bezrukova","VP of Product",1,"SENT_P1","Valeriya Bezrukova Constructor"
Constructor,constructor.io,brand-side,"Rawson Daniel","Chief Operating Officer",2,"","Rawson Daniel Constructor"
Constructor,constructor.io,brand-side,"Dan McCormick","Founder & Chief Information Security Officer",3,"","Dan McCormick Constructor"
Capacity,capacity.com,brand-side,"Michael Hunigan","VP of Product AI",1,"SENT_P1","Michael Hunigan Capacity"
Capacity,capacity.com,brand-side,"David Karandish","Founder & CEO",2,"","David Karandish Capacity"
Capacity,capacity.com,brand-side,"Chris Sims","Co-Founder",3,"","Chris Sims Capacity"
Envive,envive.ai,brand-side,"Aniket Deosthali","CEO & Co-Founder",1,"SENT_P1","Aniket Deosthali Envive"
Envive,envive.ai,brand-side,"Sameer Singh","Co-Founder & CTO",2,"","Sameer Singh Envive"
Envive,envive.ai,brand-side,"Iz Beltagy","Co-Founder & Chief Scientist",3,"","Iz Beltagy Envive"
Envive,envive.ai,brand-side,"Matthew Peters","Co-Founder & Chief Architect",4,"","Matthew Peters Envive"
Aampe,aampe.com,brand-side,"Paul Meinshausen","CEO & Co-Founder",1,"SENT_P1","Paul Meinshausen Aampe"
Aampe,aampe.com,brand-side,"Kate Field","Co-Founder & COO",2,"","Kate Field Aampe"
Aampe,aampe.com,brand-side,"Schaun Wheeler","Co-Founder",3,"","Schaun Wheeler Aampe"
Aampe,aampe.com,brand-side,"Sami Abboud","Co-Founder & CTO",4,"","Sami Abboud Aampe"
DaVinci Commerce,davincicommerce.ai,brand-side,"Diaz Nesamoney","Founder & CEO",1,"SENT_P1","Diaz Nesamoney DaVinci Commerce"
DaVinci Commerce,davincicommerce.ai,brand-side,"Jaimie Villacarlos","Chief Growth and Partnerships Officer",2,"","Jaimie Villacarlos DaVinci Commerce"
DaVinci Commerce,davincicommerce.ai,brand-side,"Taran Singh","Chief Technology Officer",3,"","Taran Singh DaVinci Commerce"
DaVinci Commerce,davincicommerce.ai,brand-side,"Aku Srikanth","VP AI Strategy",4,"","Aku Srikanth DaVinci Commerce"
DaVinci Commerce,davincicommerce.ai,brand-side,"Rushanthini Subramaniam","SVP Global Customer Success",5,"","Rushanthini Subramaniam DaVinci Commerce"
Rep AI,hellorep.ai,brand-side,"Yoav Oz","CEO & Co-Founder",1,"SENT_P1","Yoav Oz Rep AI"
Rep AI,hellorep.ai,brand-side,"Shauli Mizrahi","Co-Founder & CTO",2,"","Shauli Mizrahi Rep AI"
Crescendo,crescendo.ai,brand-side,"Todd Famous","Chief Product Officer",1,"SENT_P1","Todd Famous Crescendo"
Crescendo,crescendo.ai,brand-side,"Matt Price","Co-Founder & CEO",2,"","Matt Price Crescendo"
Crescendo,crescendo.ai,brand-side,"Anand Chandrasekaran","Founder & President",3,"","Anand Chandrasekaran Crescendo"
Crescendo,crescendo.ai,brand-side,"Slava Zhakov","Co-Founder & CTO",4,"","Slava Zhakov Crescendo"
Tidio,tidio.com,brand-side,"Marcin Stoll","Chief Product Officer",1,"SENT_P1","Marcin Stoll Tidio"
Tidio,tidio.com,brand-side,"Tytus Gołas","Founder & CEO",2,"","Tytus Gołas Tidio"
Tidio,tidio.com,brand-side,"Mateusz Marszałek","Head of Engineering",3,"","Mateusz Marszałek Tidio"
Tidio,tidio.com,brand-side,"Krzysztof Spyt","Chief Financial Officer",4,"","Krzysztof Spyt Tidio"
Alhena AI,alhena.ai,brand-side,"Ashu Dubey","CEO & Co-Founder",1,"SENT_P1","Ashu Dubey Alhena AI"
Alhena AI,alhena.ai,brand-side,"Nagendra Kumar","Co-Founder & CTO",2,"","Nagendra Kumar Alhena AI"
Alhena AI,alhena.ai,brand-side,"Kimberly Huynh Namnath","Head of Partnerships",3,"","Kimberly Huynh Namnath Alhena AI"
Alhena AI,alhena.ai,brand-side,"Tatiana Staffaroni","Head of Marketing",4,"","Tatiana Staffaroni Alhena AI"
iAdvize,iadvize.com,brand-side,"Benoit Patra","Chief Technology Officer",1,"SENT_P1","Benoit Patra iAdvize"
iAdvize,iadvize.com,brand-side,"Mike de la Cruz","President & Chief Strategy Officer",2,"","Mike de la Cruz iAdvize"
iAdvize,iadvize.com,brand-side,"Nicolas de Rosen","CEO North America",3,"","Nicolas de Rosen iAdvize"
iAdvize,iadvize.com,brand-side,"Julien Hervouet","Founder & CEO",4,"","Julien Hervouet iAdvize"
Lio,lio.ai,b2b-procurement,"Vlad Keil","Co-Founder & CEO",1,"SENT_P1","Vlad Keil Lio"
Lio,lio.ai,b2b-procurement,"Till Wagner","Co-Founder & COO",2,"","Till Wagner Lio"
Lio,lio.ai,b2b-procurement,"Lukas Heinzmann","Co-Founder & CTO",3,"","Lukas Heinzmann Lio"
Magentic,magentic.com,b2b-procurement,"Robin Van Aeken","Co-Founder & CEO",1,"SENT_P1","Robin Van Aeken Magentic"
Magentic,magentic.com,b2b-procurement,"Odhran O'Donoghue","Co-Founder & CTO",2,"","Odhran O'Donoghue Magentic"
Tacto,tacto.ai,b2b-procurement,"André Petry","Co-Founder & CEO",1,"SENT_P1","André Petry Tacto"
Tacto,tacto.ai,b2b-procurement,"Johannes Groll","Co-Founder & CPO",2,"","Johannes Groll Tacto"
Levelpath,levelpath.com,b2b-procurement,"Bryan Rosenstein","Co-Founder & Head of Operations",1,"SENT_P1","Bryan Rosenstein Levelpath"
Levelpath,levelpath.com,b2b-procurement,"Raimonds Samofals","Co-Founder & Head of Engineering",2,"","Raimonds Samofals Levelpath"
Levelpath,levelpath.com,b2b-procurement,"Alex Yakubovich","Co-Founder & CEO",3,"","Alex Yakubovich Levelpath"
Pactum AI,pactum.com,b2b-procurement,"Kaspar Korjus","Co-Founder & CEO",1,"SENT_P1","Kaspar Korjus Pactum AI"
Pactum AI,pactum.com,b2b-procurement,"Kristjan Korjus","Co-Founder & Chief Scientist",2,"","Kristjan Korjus Pactum AI"
Pactum AI,pactum.com,b2b-procurement,"Layla Kidwai","Chief People Officer",3,"","Layla Kidwai Pactum AI"
Evolinq,evolinq.io,b2b-procurement,"Noam Shakuri","Co-Founder & CEO",1,"SENT_P1","Noam Shakuri Evolinq"
Evolinq,evolinq.io,b2b-procurement,"Or Feldman","Co-Founder & CTO",2,"","Or Feldman Evolinq"
Turian,turian.ai,b2b-procurement,"Niels Tonsen","Co-Founder & CEO",1,"SENT_P1","Niels Tonsen Turian"
Turian,turian.ai,b2b-procurement,"Tilmann Roth","Co-Founder & CRO",2,"","Tilmann Roth Turian"
Turian,turian.ai,b2b-procurement,"Dominik Picker-Huchzermeyer","Co-Founder & Managing Director",3,"","Dominik Picker-Huchzermeyer Turian"
Zip,ziphq.com,b2b-procurement,"Lu Cheng","Co-Founder & CTO",1,"SENT_P1","Lu Cheng Zip"
Zip,ziphq.com,b2b-procurement,"Felix Meng","Co-Founder & VP",2,"","Felix Meng Zip"
Zip,ziphq.com,b2b-procurement,"Rujul Zaparde","Co-Founder & CEO",3,"","Rujul Zaparde Zip"
Omnea,omnea.co,b2b-procurement,"Ben Freeman","Co-Founder & CEO",1,"SENT_P1","Ben Freeman Omnea"
Omnea,omnea.co,b2b-procurement,"Ben Allen","Co-Founder & CTO",2,"","Ben Allen Omnea"
Omnea,omnea.co,b2b-procurement,"Ashil Shah","VP Business Development",3,"","Ashil Shah Omnea"
Order.co,order.co,b2b-procurement,"Zachary Garippa","Co-Founder & CEO",1,"SENT_P1","Zachary Garippa Order.co"
Order.co,order.co,b2b-procurement,"Tom Jaklitsch","Co-Founder & CTO",2,"","Tom Jaklitsch Order.co"
Order.co,order.co,b2b-procurement,"Matt Garippa","Co-Founder & Chief Business Officer",3,"","Matt Garippa Order.co"
BRM,brm.ai,procurement-orchestration,"James McGillicuddy","CEO & Co-Founder",1,"SENT_P1","James McGillicuddy BRM"
BRM,brm.ai,procurement-orchestration,"Fabian Frank","CTO & Co-Founder",2,"","Fabian Frank BRM"
BRM,brm.ai,procurement-orchestration,"Michael Do","Product/Engineering",3,"","Michael Do BRM"
BRM,brm.ai,procurement-orchestration,"Connor Wen","Product/Engineering",4,"","Connor Wen BRM"
Oro Labs,orolabs.ai,procurement-orchestration,"Sudhir Bhojwani","CEO & Co-Founder",1,"SENT_P1","Sudhir Bhojwani Oro Labs"
Oro Labs,orolabs.ai,procurement-orchestration,"Lalitha Rajagopalan","Co-Founder & Head of Product Strategy",2,"","Lalitha Rajagopalan Oro Labs"
Oro Labs,orolabs.ai,procurement-orchestration,"Yuan Tung","CTO & Co-Founder",3,"","Yuan Tung Oro Labs"
Procol,procol.ai,procurement-orchestration,"Gaurav Baheti","CEO & Co-Founder",1,"SENT_P1","Gaurav Baheti Procol"
Procol,procol.ai,procurement-orchestration,"Sumit Mendiratta","Co-Founder & CTO",2,"","Sumit Mendiratta Procol"
Procol,procol.ai,procurement-orchestration,"Dipesh Kothari","Leadership / Product",3,"","Dipesh Kothari Procol"
Procol,procol.ai,procurement-orchestration,"Naveen Diwan","Leadership / Operations",4,"","Naveen Diwan Procol"
Procol,procol.ai,procurement-orchestration,"Deepakshi Gulati","Leadership / Growth",5,"","Deepakshi Gulati Procol"
Fairmarkit,fairmarkit.com,procurement-orchestration,"Kevin Frechette","CEO & Co-Founder",1,"SENT_P1","Kevin Frechette Fairmarkit"
Fairmarkit,fairmarkit.com,procurement-orchestration,"Victor Kushch","CTO & Co-Founder",2,"","Victor Kushch Fairmarkit"
Fairmarkit,fairmarkit.com,procurement-orchestration,"Allison Yount","SVP Partnerships & Corporate Strategy",3,"","Allison Yount Fairmarkit"
Fairmarkit,fairmarkit.com,procurement-orchestration,"Celeste Ackert","Chief Financial & Operating Officer",4,"","Celeste Ackert Fairmarkit"
Fairmarkit,fairmarkit.com,procurement-orchestration,"John Fleisher","Chief Revenue Officer",5,"","John Fleisher Fairmarkit"
Keelvar,keelvar.com,procurement-orchestration,"Alan Holland","Founder & CEO",1,"SENT_P1","Alan Holland Keelvar"
Keelvar,keelvar.com,procurement-orchestration,"Toby Hannon","VP of Sales",2,"","Toby Hannon Keelvar"
Keelvar,keelvar.com,procurement-orchestration,"Riona Hegarty","VP Marketing",3,"","Riona Hegarty Keelvar"
Suplari,suplari.com,procurement-orchestration,"Jeff Gerber","CEO & Founder",1,"SENT_P1","Jeff Gerber Suplari"
Suplari,suplari.com,procurement-orchestration,"Mark Jancola","Chief Technology Officer",2,"","Mark Jancola Suplari"
Suplari,suplari.com,procurement-orchestration,"Claude Mullins","Chief Revenue Officer",3,"","Claude Mullins Suplari"
JAGGAER,jaggaer.com,procurement-orchestration,"Gopinath Polavarapu","Chief Digital & AI Officer",1,"SENT_P1","Gopinath Polavarapu JAGGAER"
JAGGAER,jaggaer.com,procurement-orchestration,"Jon Lawrence","Chief Product Officer",2,"","Jon Lawrence JAGGAER"
JAGGAER,jaggaer.com,procurement-orchestration,"Pascal d'Arc","Chief Strategic Officer",3,"","Pascal d'Arc JAGGAER"
JAGGAER,jaggaer.com,procurement-orchestration,"Dimitri Koulouriotis","Senior Product Manager — AI",4,"","Dimitri Koulouriotis JAGGAER"
Vendr,vendr.com,saas-procurement,"Darius Contractor","Chief Product & Engineering Officer",1,"SENT_P1","Darius Contractor Vendr"
Vendr,vendr.com,saas-procurement,"Jeff Swank","SVP Go-To-Market",2,"","Jeff Swank Vendr"
Vendr,vendr.com,saas-procurement,"Vitali Edrenkine","SVP Growth Marketing",3,"","Vitali Edrenkine Vendr"
Vendr,vendr.com,saas-procurement,"Jason Quinn","CFO & COO",4,"","Jason Quinn Vendr"
Vendr,vendr.com,saas-procurement,"Wendy Stockholm","Chief of Staff",5,"","Wendy Stockholm Vendr"
Tropic,tropicapp.io,saas-procurement,"Kristy McCown","Head of Partnerships",1,"SENT_P1","Kristy McCown Tropic"
Tropic,tropicapp.io,saas-procurement,"Justin Etkin","Co-Founder & COO",2,"","Justin Etkin Tropic"
Tropic,tropicapp.io,saas-procurement,"David Campbell","Co-Founder & CEO",3,"","David Campbell Tropic"
Tropic,tropicapp.io,saas-procurement,"Patrick Unnold","SVP Customer Experience",4,"","Patrick Unnold Tropic"
Tropic,tropicapp.io,saas-procurement,"Srinivas Somayajula","Chief Product Officer",5,"","Srinivas Somayajula Tropic"
Sastrify,sastrify.com,saas-procurement,"Lars Haßler","VP Product",1,"SENT_P1","Lars Haßler Sastrify"
Sastrify,sastrify.com,saas-procurement,"Sven Lackinger","Co-Founder & CEO",2,"","Sven Lackinger Sastrify"
Sastrify,sastrify.com,saas-procurement,"Maximilian Messing","Co-Founder & CTO",3,"","Maximilian Messing Sastrify"
Spendflo,spendflo.com,saas-procurement,"Siddharth Sridharan","Co-Founder & CEO",1,"SENT_P1","Siddharth Sridharan Spendflo"
Spendflo,spendflo.com,saas-procurement,"Ajay Vardhan","Co-Founder & CTO",2,"","Ajay Vardhan Spendflo"
Spendflo,spendflo.com,saas-procurement,"Rajiv Ramanan","Co-Founder & Chief Revenue Officer",3,"","Rajiv Ramanan Spendflo"
Spendflo,spendflo.com,saas-procurement,"Nivas Ravichandran","Head of Marketing",4,"","Nivas Ravichandran Spendflo"
Vertice,vertice.one,saas-procurement,"Ronny Maate","Chief Product Officer",1,"SENT_P1","Ronny Maate Vertice"
Vertice,vertice.one,saas-procurement,"Roy Tuvey","Co-Founder & Co-CEO",2,"","Roy Tuvey Vertice"
Vertice,vertice.one,saas-procurement,"Eldar Tuvey","Founder & CEO",3,"","Eldar Tuvey Vertice"
Zylo,zylo.com,saas-procurement,"Ian Runyon","VP of Product",1,"SENT_P1","Ian Runyon Zylo"
Zylo,zylo.com,saas-procurement,"Eric Christopher","Co-Founder & CEO",2,"","Eric Christopher Zylo"
Zylo,zylo.com,saas-procurement,"Matt DiAntonio","Chief Product Officer",3,"","Matt DiAntonio Zylo"
Zylo,zylo.com,saas-procurement,"Tim Horoho","Chief Technology Officer",4,"","Tim Horoho Zylo"
Zylo,zylo.com,saas-procurement,"Cory Wheeler","Co-Founder & Chief Customer Officer",5,"","Cory Wheeler Zylo"
Productiv,productiv.com,saas-procurement,"Sean D. Murray","CEO",1,"SENT_P1","Sean D. Murray Productiv"
Productiv,productiv.com,saas-procurement,"Munish Gandhi","COO",2,"","Munish Gandhi Productiv"
Productiv,productiv.com,saas-procurement,"Ashish Aggarwal","CTO",3,"","Ashish Aggarwal Productiv"
CloudEagle,cloudeagle.ai,saas-procurement,"Nidhi Jain","CEO & Co-Founder",1,"SENT_P1","Nidhi Jain CloudEagle"
CloudEagle,cloudeagle.ai,saas-procurement,"Prasanna Naik","Co-Founder",2,"","Prasanna Naik CloudEagle"
CloudEagle,cloudeagle.ai,saas-procurement,"Swatantra Agrawal","Chief Architect",3,"","Swatantra Agrawal CloudEagle"
Torii,toriihq.com,saas-procurement,"Uri Haramati","CEO & Co-Founder",1,"SENT_P1","Uri Haramati Torii"
Torii,toriihq.com,saas-procurement,"Uri Nativ","CPO & Co-Founder",2,"","Uri Nativ Torii"
Torii,toriihq.com,saas-procurement,"Tal Bereznitskey","CTO & Co-Founder",3,"","Tal Bereznitskey Torii"
Torii,toriihq.com,saas-procurement,"Rachel Baizen MacIver","VP of Sales",4,"","Rachel Baizen MacIver Torii"
Zluri,zluri.com,saas-procurement,"Ritish Reddy","CEO & Co-Founder",1,"SENT_P1","Ritish Reddy Zluri"
Zluri,zluri.com,saas-procurement,"Chaithanya Yambari","CTO & Co-Founder",2,"","Chaithanya Yambari Zluri"
Zluri,zluri.com,saas-procurement,"Sethu Meenakshisundaram","Co-Founder",3,"","Sethu Meenakshisundaram Zluri"
Zluri,zluri.com,saas-procurement,"Jitender Kumar","Head of Product and Engineering",4,"","Jitender Kumar Zluri"
Gatekeeper,gatekeeperhq.com,saas-procurement,"Patrick O'Connor","CEO & Founder",1,"SENT_P1","Patrick O'Connor Gatekeeper"
Gatekeeper,gatekeeperhq.com,saas-procurement,"Sam Pavitt","VP of Product and Engineering",2,"","Sam Pavitt Gatekeeper"
Gatekeeper,gatekeeperhq.com,saas-procurement,"Ian Bryce","VP Marketing",3,"","Ian Bryce Gatekeeper"
