brand,domain,instagram,founder,source,notes
Ann Marie's,annmarie.com,annmarieshopeurope,,cleanbeautyawards,
Hynt Beauty,hyntbeauty.com,hyntbeauty,,cleanbeautyawards,
Medicine Mama,medicinemamasapothecary.com,medicinemama,,cleanbeautyawards,
cocokind,cocokind.com,cocokind,,thenewknew,
Aleavia,aleavia.com,aleaviaskincare,,thenewknew,
ORGAID,orgaid.com,orgaid,,general-indie,
Hanahana Beauty,hanahanabeauty.com,hanahana_beauty,,newknew-bipoc,
Epara Skincare,eparaskincare.com,EparaSkincare,,robbreport-bipoc,
EADEM,eadem.co,eadem.co,,robbreport-bipoc,
Humanrace,humanrace.com,humanrace,,detox-bipoc,
LANSHIN,lanshin.com,treatmentbylanshin,,detox-bipoc,
Mount Lai,mountlai.com,mountlai,,detox-bipoc,
Wyld Skincare,wyldskincare.com,wyldskincare,,detox-bipoc,
Bathorium,bathorium.com,livebathorium,,detox-bipoc,
Living Libations,livinglibations.com,livinglibationsofficial,,detox-bipoc,
DEW MIGHTY,dewmighty.com,dewmighty,,general-indie,
Mad Hippie,madhippie.com,,,general-indie,
Dafna's Personal Skincare,dafnaskincare.com,dafnaskincare,,general-indie,
Kindred Black,kindredblack.com,kindredblack,,general-indie,
Malaya Organics,malayaorganics.com,malayaorganics,,general-indie,
Activist Skincare,activistskincare.com,activistskincare,,general-indie,
Erbaviva,erbaviva.com,erbaviva,,general-indie,
KAPLAN MD SKINCARE,kaplanmdskincare.com,kaplanmdskincare,,general-indie,
Westman Atelier,westmanatelier.com,westmanatelier,,general-indie,
Intelligent Nutrients™,intelligentnutrients.com,intelligentnutrients,,general-indie,
Four Sigmatic,foursigmatic.com,foursigmatic,,general-indie,
Brujita Skincare,brujitaskincare.com,brujitaskincare,,bipoc-roundup,
Blume,blume.com,blume,,bipoc-roundup,
PiperWai Natural Deodorant,piperwai.com,piperwai,,newknew-bipoc,
Kreyol Essence,kreyolessence.com,kreyolessence,,newknew-bipoc,
KADALYS,kadalys.com,kadalys,,newknew-bipoc,
Olverum Official Store,olverum.com,olverum,,ctxh-minority,
KOBA skincare,kobaskincare.com,kobaskincare,,robbreport-bipoc,
epi.logic,epilogicskincare.com,miesha.frempong,,robbreport-bipoc,
KOREJ SKIN,korejskin.com,korejskin,,robbreport-bipoc,
LUNA MAGIC BEAUTY,lunamagic.com,lunamagicbeauty,,ipsy-latinx,
Rizos Curls,rizoscurls.com,rizoscurls,,ipsy-latinx,
Vive Cosmetics,vivecosmetics.com,vivecosmetics,,ipsy-latinx,
Alpyn Beauty,alpyn.com,alpynbeauty,,boxwalla-beauty,
Marie Veronique,marieveronique.com,marieveronique_,,beauty-heroes-catalog,
Three Ships,threeshipsbeauty.com,threeshipsbeauty,,beauty-heroes-catalog,
Siam SEAS,siamseas.com,siam.seas,,boxwalla-beauty,
Hudson-Made,hudson-made.com,,,fashionista-body,
Hudson Made New York,hudsonmadeny.com,,,fashionista-body,
The Innate Life,theinnatelife.co,theinnatelife,,mygreencloset,
MOA - Magic Organic Apothecary,moa.co.uk,magicorganicapothecary,,mygreencloset,
Skwalwen Botanicals,skwalwen.com,skwalwenbotanicals,,mygreencloset,
Maya Chia,mayachia.com,mayachiabeauty,,beauty-heroes,
Fitglow Beauty,fitglowbeauty.com,fitglowbeauty,,beauty-heroes,
Osmia,osmiaorganics.com,osmiaskincare,,beauty-heroes,
Sahajan,sahajan.com,sahajanskincare,,beauty-heroes,
Solara Suncare,solarasuncare.com,solarasuncare,,beauty-heroes,
The Beauty Chef,thebeautychef.com,thebeautychef,,beauty-heroes,
Vertly,vertly.com,,,beauty-heroes,
JANE SCRIVNER SKINCARE,janescrivner.com,janescrivnerskincare,,beauty-heroes,
Josh Rosebrook,joshrosebrook.com,joshrosebrook,,beauty-heroes,
Little Seed Farm,littleseedfarm.com,littleseedfarm,,beauty-heroes,
Live Botanical,livebotanical.com,livebotanical,,beauty-heroes,
One Love Organics©,oneloveorganics.com,oneloveorganics,,beauty-heroes,
Poppy & Pout,poppyandpout.com,poppyandpout,,beauty-heroes,
RiseWell,risewell.com,risewellco,,beauty-heroes,
Routine Natural Beauty,routinecream.com,routinecream,,beauty-heroes,
Rye Beauty,ryebeauty.com,rye.beauty,,beauty-heroes,
TOK Beauty - USA,tokbeauty.com,tokbeauty,,beauty-heroes,
Ancient + Brave,ancientandbrave.earth,ancientandbrave,,beauty-heroes,
Anima Mundi Herbals,animamundiherbals.com,animamundiherbals,,beauty-heroes,
Bathing Culture,bathingculture.com,bathingculture,,beauty-heroes,
BLÜH ALCHEMY,bluhalchemy.com,bluh.alchemy,,beauty-heroes,
Cleo+Coco,cleoandcoco.com,cleoandcoconatural,,beauty-heroes,
de Mamiel,demamiel.com,demamielskin,,beauty-heroes,
Doctor Rogers Skin Care,doctorrogers.com,doctor.rogers,,beauty-heroes,
Earth Harbor Naturals,earthharbor.com,earthharbor,,beauty-heroes,
Gentlerist,gentlerist.com,gentlerist,,beauty-heroes,
Honua Hawaiian Skincare,honuaskincare.com,honuaskincare,,beauty-heroes,
OHLOLLY,ohlolly.com,ohlollybeauty,,general-indie,
Naturopathica,naturopathica.com,naturopathica,,editorial-indie,
The Nue Co.,thenueco.com,thenue_co,,ipsy-latinx,
Watermans,watermanshair.com,watermansuk,,ctxh-minority,
BYROE,byroe.com,byroe_official,,ipsy-aapi,
Oliviaumma,oliviaumma.com,oliviaumma,,ipsy-aapi,
Dieux,dieuxskin.com,dieuxskin,,ipsy-aapi,
SACHEU,sacheubeauty.com,sacheubeauty,,ipsy-aapi,
Fable & Mane,fableandmane.com,fableandmane,,ipsy-aapi,
Wander Beauty,wanderbeauty.com,wander_beauty,,ipsy-aapi,
Dear sundays,dearsundays.com,sundays_studio,,purewow-aapi,
EM Cosmetics,emcosmetics.com,emcosmetics,,purewow-aapi,
AAVRANI,aavrani.com,aavrani,,purewow-aapi,
Squigs,squigsbeauty.com,squigsbeauty,,purewow-aapi,
JOAH Beauty,joahbeauty.com,,,purewow-aapi,
CLE Cosmetics,clecosmetics.com,clecosmetics,,wwwear-aapi,
Emilie Heathe,emilieheathe.com,,,wwwear-aapi,
Fluff,itsallfluff.com,itsall.fluff,,fashionjournal-au,
Conserving Beauty,conservingbeauty.com,conservingbeauty,,fashionjournal-au,
Strange Luxury,strangeluxury.com,strangeluxury,,fashionjournal-au,
MV SKINTHERAPY,mvskintherapy.com,mvskintherapy,,fashionjournal-au,
LESSE,lesseofficial.com,lesseofficial,,fashionjournal-au,
Airyday AU,airyday.co,airyday.official,,fashionjournal-au,
Tomorrow-Today Beauty,tomorrowtodaybeauty.com,tomorrowtodaybeauty,,fashionjournal-au,
Gorgeous Nothings,gorgeousnothings.com,,,fashionjournal-au,
Urban Jungle Beauty,urbanjunglebeauty.com,urbanjunglebeauty,,fashionjournal-au,
Lowanna Skincare,lowannaskincare.com,lowannaskincare,,fashionjournal-au,
Sans [ceuticals],sansceuticals.com,sansceuticals,,fashionjournal-au,
the breakout hack,tbhskincare.com,thebreakouthack,,fashionjournal-au,
Standard Procedure®,standardprocedure.co,standardprocedure,,fashionjournal-au,
Bush Medijina,bushmedijina.com.au,bush_medijina,,fashionjournal-au,
A Luxury Razor & Women's Body Care Brand To Elevate Shaving,luibody.com,gritty_pretty,,fashionjournal-au,
Magic Molecule,magicmolecule.com,magicmoleculeinc,,indie360,
Ashunta Sheriff Beauty,ashuntabeauty.com,ashuntasheriffbeauty,,indie360,
Jovy,jovyco.com,purejovy,,indie360,
Skincare Junkie,skincarejunkie.com,skincarejunkieofficial,,indie360,
LUNAESCENT,lunaescent.com,lunaescentskin,,indie360,
Nopalera,nopalera.co,nopalera.co,,indie360,
Prohibition Wellness,prohibitionwellness.com,prohibitionwellness,,indie360,
Seis Cosmetics,seiscosmetics.com,seis_cosmetics,,indie360,
Topical Skin,topicalskin.com,topicalskin.us,,indie360,
stateofchangeparfum,stateofchangeparfum.com,stateofchangeparfum,,indie360,
Ziba Beauty,shop.zibabeauty.com,thezibabeauty,,indie360,
Erins Faces,erinsfaces.com,erinsfaces,,gurlgonegreen,
Exa Beauty,exabeauty.com,exa.beauty,,gurlgonegreen,
ĀTHR Beauty,athrbeauty.com,athrbeautyco,,gurlgonegreen,
Black Moon Cosmetics,blackmooncosmetics.com,blackmooncosmetics,,consciousbunny,
Sugarpill Cosmetics,sugarpill.com,sugarpill,,consciousbunny,
Give Me Glow Cosmetics,givemeglow.com,,,consciousbunny,
Terra Moons Cosmetics,terramoonscosmetics.com,terra_moonscosmetics,,consciousbunny,
LZRD LASH,lzrdlash.com,LZRDLASH,,consciousbunny,
Bouclème,boucleme.co.uk,boucleme,,planet-organic,
ilapothecary,ilapothecary.com,,,planet-organic,
NEOM Wellbeing,neomorganics.com,neomwellbeing,,planet-organic,
Modern Basic Cosmetics,modernbasic.com,modernbasiccos,,general-indie,
UREMBO ASILI,uremboasili.com,the_real_urembo_asili,,general-indie,
Anua US,anua.us,anua_global,,lila-kbeauty,
RoundLab,round-lab.com,roundlaboratory,,lila-kbeauty,
haruharu wonder,haruharuwonder.com,haruharuwonder_official,,lila-kbeauty,
SKIN1004,skin1004.com,skin1004official,,lila-kbeauty,
KAZMALEJE,kazmaleje.com,,,beauty-indie,
Scotch Porter,scotchporter.com,scotchporter,,beauty-indie,
Donna's Recipe,donnasrecipe.com,donnasrecipe,,beauty-indie,
Nette,nettenyc.com,nette.nyc,,beauty-indie,
MARA,themarabeauty.com,themarabeauty,,beauty-indie,
NatureLab. TOKYO,naturelab.com,naturelabtokyo,,beauty-indie,
MDSolarSciences™,mdsolarsciences.com,mdsolarsciences,,beauty-indie,
SOL LABS,sollabs.co,sollabsLA,,beauty-indie,
MOODEAUX®,moodeaux.com,moodeauxofficial,,beauty-indie,
Joanna Czech,joannaczech.com,joannaczechofficial,,beauty-indie,
Apothékary,apothekary.co,apothekary,,beauty-indie,
Terns,terns.com,ternsactive,,beauty-indie,
SickScience Labs,sicksciencelabs.com,sicksciencelabs,,beauty-indie,
Sana Jardin USA,us.sanajardin.com,sanajardin,,beauty-indie,
Sana Jardin UK,sanajardin.com,sanajardin,,beauty-indie,
Camille Rose Naturals,camillerose.com,camillerosenaturals,,beauty-indie,
The Beachwaver Co.,beachwaver.com,thebeachwaver,,beauty-indie,
"Lola from Rio USA | Vegan, Cruelty-free Hair & Body Care",lolafromriousa.com,lolafromriousa,,beauty-indie,
Facile,facileskin.com,facileskin,,beauty-indie,
LĀ SOL COLLECTIVE,lasolcollective.com,lasolcollective,,beauty-indie,
Acaderma,acaderma.com,acaderma,,beauty-indie,
MIXIK SKIN,mixikskin.com,channel,,beauty-indie,
DeoDoc,deodoc.com,deodocwellness,,beauty-indie,
Free Yourself,freeyourself.com,freeyourselfandflourish,,beauty-indie,
FRECK BEAUTY,freckbeauty.com,Freck,,huda-female,
BREAD BEAUTY SUPPLY,breadbeautysupply.com,bread,,huda-female,
Melt Cosmetics,meltcosmetics.com,meltcosmetics,,huda-female,
BOMBA CURLS,bombacurls.com,bombacurls,,huda-female,
FORVR MOOD,forvrmood.com,forvrmood,,huda-female,
Undefined Inc,un-definedbeauty.com,undefinedbeauty_co,,huda-female,
JunkTheory,junktheory.com,junktheory,,goodtrade-natural,
JUARA Beauty Indonesia,juarabeauty.com,juarabeauty,,marieclaire-aapi,
Shikohin,shikohin.com,shikohin.rituals,,marieclaire-aapi,
KIMIKO,kimikobeauty.com,kimikobeauty,,marieclaire-aapi,
Prakti Beauty,praktibeauty.com,praktibeauty,,marieclaire-aapi,
Glimmer Goddess LLC,glimmergoddess.com,glimmergoddessskincare,,glimmer,
